participant,setup,user_id,condition,group,round,phase,isPareto,route,endedAt,driveDurationS,durationInclSurveyS,avgSpeedKmh,maxSpeedKmh,collisions,maxStuckS,energyKwh100km,avgEcoScore,taskLoad,acceptance,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,tlxMental,tlxDistraction,accInformed,accPleasant,accGlance,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P11,desk,11,v1,Study,7,sampling,True,R3 283m Basil Street → Hans Road → Brompton Road,11:17:15,50,86.2,19.8,50.9,0,0.0,33.45,38.8,17.5,95.0,0.2848,0.756,0.1006,0.8446,0.6809,0.5219,0.6149,10.0,25.0,95.0,95.0,95.0,0.3702,0.9828,0.1308,1.1912,0.8852,0.6785,0.6534,False,True,False,True,True,0.6534
P11,desk,11,v1,Study,8,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,11:18:51,52,95.5,11.0,38.1,2,0.0,44.09,22.6,7.5,71.7,0.3884,0.4498,0.0127,0.6106,0.6931,0.3547,0.2077,5.0,10.0,70.0,80.0,65.0,0.5049,0.5847,0.0165,1.0274,0.901,0.4611,0.2869,False,False,False,True,False,0.4
P11,desk,11,v1,Study,9,sampling,False,R1 215m Draycott Place,11:19:49,22,58.1,34.0,52.6,0,0.0,42.75,50.8,75.0,33.3,0.379,0.2942,0.9771,0.1977,0.1731,0.2572,0.9388,75.0,75.0,25.0,50.0,25.0,0.4927,0.3825,1.2702,0.7384,0.225,0.3344,0.9449,False,False,True,False,False,0.9449
P11,desk,11,v1,Study,10,sampling,False,R2 165m Cliveden Place,11:20:53,14,64.2,41.1,54.2,0,0.0,43.84,55.4,40.0,58.3,0.1923,0.7383,0.755,0.2488,0.4048,0.9304,0.7164,30.0,50.0,75.0,50.0,50.0,0.25,0.9598,0.9815,0.7742,0.5262,1.2095,0.7448,False,True,True,False,True,0.7448
P11,desk,11,v1,Study,11,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,11:22:23,33,89.7,29.1,50.3,1,0.0,42.02,48.0,5.0,95.0,0.9616,0.2819,0.3471,0.0925,0.7823,0.4875,0.9117,5.0,5.0,95.0,95.0,95.0,1.2501,0.3665,0.4512,0.6647,1.017,0.6338,0.9205,True,False,False,True,True,0.9205
P11,desk,11,v1,Study,12,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,11:23:28,27,65.1,20.5,45.4,5,0.0,40.09,37.5,52.5,38.3,0.7764,0.2636,0.5309,0.3147,0.4964,0.6921,0.324,55.0,50.0,25.0,45.0,45.0,1.0093,0.3427,0.6902,0.8203,0.6453,0.8997,0.3916,True,False,True,True,True,0.4
P11,desk,11,v1,Study,13,sampling,False,R1 215m Draycott Place,11:24:38,22,69.9,33.6,53.4,1,0.0,40.69,43.6,12.5,81.7,0.0542,0.3045,0.1055,0.705,0.6401,0.3049,0.5122,10.0,15.0,60.0,90.0,95.0,0.0705,0.3958,0.1371,1.0935,0.8321,0.3964,0.561,False,False,False,True,False,0.561
P11,desk,11,v1,Study,14,sampling,False,R2 165m Cliveden Place,11:25:15,13,36.6,41.8,54.4,0,0.0,45.81,55.9,5.0,95.0,0.9422,0.0125,0.3872,0.8257,0.723,0.1948,0.999,5.0,5.0,95.0,95.0,95.0,1.2249,0.0163,0.5034,1.178,0.9399,0.2532,0.9991,True,False,False,True,False,0.9991
P11,desk,11,v1,Study,15,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,11:26:41,49,85.6,20.1,52.7,0,0.0,39.68,32.9,5.0,86.7,0.2497,0.0937,0.2802,0.6363,0.9164,0.6147,0.6272,5.0,5.0,70.0,95.0,95.0,0.3246,0.1218,0.3643,1.0454,1.1913,0.7991,0.6645,False,False,False,True,True,0.6645
P11,desk,11,v1,Study,16,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,11:30:27,88,128.6,7.5,46.4,6,0.0,40.08,49.8,5.0,73.3,0.4119,0.7693,0.1495,0.1115,0.8589,0.0,0.568,5.0,5.0,60.0,65.0,95.0,0.5355,1.0001,0.1943,0.6781,1.1166,0.0,0.6112,False,True,False,True,False,0.6112
P11,desk,11,v1,Study,17,optimization,True,R1 215m Draycott Place,11:33:10,24,47.3,31.7,53.5,0,0.0,37.6,61.2,5.0,95.0,1.0,0.3069,0.2992,0.0811,1.0,0.0712,1.0,5.0,5.0,95.0,95.0,95.0,1.3,0.399,0.389,0.6568,1.3,0.0926,1.0,True,False,False,True,False,1.0
P11,desk,11,v1,Study,18,optimization,False,R2 165m Cliveden Place,11:36:13,28,74.9,20.9,53.0,3,0.0,64.61,66.7,10.0,95.0,0.1517,0.7346,0.3247,0.7822,1.0,0.0,0.6976,5.0,15.0,95.0,95.0,95.0,0.1972,0.955,0.4221,1.1475,1.3,0.0,0.7278,False,True,False,True,False,0.7278
P11,desk,11,v1,Study,19,optimization,False,R3 283m Basil Street → Hans Road → Brompton Road,11:39:49,43,69.6,22.8,52.4,0,0.0,41.65,40.6,5.0,95.0,1.0,0.6869,0.3305,0.7588,0.8079,0.606,0.7799,5.0,5.0,95.0,95.0,95.0,1.3,0.893,0.4297,1.1312,1.0503,0.7878,0.8019,True,True,False,True,True,0.8019
