participant,setup,user_id,condition,group,round,phase,isPareto,route,endedAt,driveDurationS,durationInclSurveyS,avgSpeedKmh,maxSpeedKmh,collisions,maxStuckS,energyKwh100km,avgEcoScore,taskLoad,acceptance,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,tlxMental,tlxDistraction,accInformed,accPleasant,accGlance,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P03,motion,3,v1,Study,1,sampling,True,R1 215m Draycott Place,16:32:58,131,229.6,5.8,38.9,4,0.0,37.37,22.3,50.0,88.3,0.3378,0.9983,0.9914,0.3836,0.6426,0.8436,0.2648,25.0,75.0,90.0,90.0,85.0,0.4391,1.2978,1.2888,0.8685,0.8354,1.0967,0.3383,False,True,True,True,True,0.4
P03,motion,3,v1,Study,2,sampling,False,R2 165m Cliveden Place,16:34:23,25,84.9,23.8,50.7,3,0.0,51.8,58.1,47.5,50.0,0.4678,0.4002,0.1365,0.0313,0.87,0.4997,0.7401,70.0,25.0,60.0,50.0,40.0,0.6081,0.5203,0.1775,0.6219,1.131,0.6496,0.7661,True,False,False,True,True,0.7661
P03,motion,3,v1,Study,3,sampling,True,R3 283m Basil Street → Hans Road → Brompton Road,16:36:16,68,112.8,15.4,47.2,4,0.0,34.81,37.9,30.0,65.0,0.9558,0.0258,0.4746,0.2971,0.4434,0.6079,0.1231,40.0,20.0,80.0,90.0,25.0,1.2425,0.0335,0.617,0.808,0.5764,0.7903,0.2108,True,False,True,False,True,0.4
P03,motion,3,v1,Study,4,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,16:39:04,112,167.9,6.2,29.5,13,0.0,44.05,20.0,40.0,65.0,0.8331,0.6163,0.4329,0.1385,0.1136,0.7325,0.902,40.0,40.0,65.0,70.0,60.0,1.083,0.8012,0.5628,0.6969,0.1477,0.9523,0.9118,True,True,False,False,True,0.9118
P03,motion,3,v1,Study,5,sampling,True,R1 215m Draycott Place,16:40:20,37,76.1,20.5,48.1,1,0.0,37.9,44.9,10.0,95.0,0.7922,0.2944,0.3431,0.2498,0.2318,0.8062,0.5256,15.0,5.0,95.0,90.0,100.0,1.0299,0.3827,0.446,0.7749,0.3013,1.0481,0.573,True,False,False,False,True,0.573
P03,motion,3,v1,Study,6,sampling,False,R2 165m Cliveden Place,16:41:38,34,77.9,18.7,51.7,1,0.0,58.43,38.3,47.5,81.7,0.3696,0.2503,0.9968,0.7651,0.0865,0.179,0.8507,40.0,55.0,90.0,65.0,90.0,0.4805,0.3254,1.2958,1.1356,0.1124,0.2327,0.8656,False,False,True,False,False,0.8656
P03,motion,3,v1,Study,7,sampling,True,R3 283m Basil Street → Hans Road → Brompton Road,16:43:58,100,139.5,10.2,51.1,3,0.0,39.22,26.2,25.0,91.7,0.8185,0.0803,0.623,0.8324,0.8688,0.9229,0.9794,20.0,30.0,90.0,95.0,90.0,1.064,0.1044,0.8099,1.1827,1.1294,1.1998,0.9815,True,False,True,True,True,0.9815
P03,motion,3,v1,Study,8,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,16:46:18,103,140.4,6.8,37.5,7,0.0,38.45,20.4,32.5,61.7,0.4913,0.0865,0.9161,0.2505,0.0735,0.5106,0.8168,35.0,30.0,70.0,60.0,55.0,0.6387,0.1124,1.1909,0.7753,0.0955,0.6638,0.8351,True,False,True,False,True,0.8351
P03,motion,3,v1,Study,9,sampling,True,R1 215m Draycott Place,16:47:28,31,69.2,24.1,50.4,2,0.0,43.84,41.4,55.0,71.7,0.8712,0.7013,0.2842,0.7187,0.5438,0.2586,0.6193,55.0,55.0,100.0,70.0,45.0,1.1326,0.9117,0.3695,1.1031,0.7069,0.3362,0.6574,True,True,False,True,False,0.6574
P03,motion,3,v1,Study,10,sampling,False,R2 165m Cliveden Place,16:48:42,18,74.7,30.9,51.3,1,0.0,46.41,64.1,50.0,63.3,0.5732,0.9354,0.3553,0.4103,0.6405,0.7869,0.9559,40.0,60.0,80.0,65.0,45.0,0.7452,1.216,0.4619,0.8872,0.8327,1.023,0.9603,True,True,False,True,True,0.9603
P03,motion,3,v1,Study,11,sampling,True,R3 283m Basil Street → Hans Road → Brompton Road,16:50:00,45,78.0,22.1,48.7,4,0.0,36.5,44.5,52.5,63.3,0.617,0.791,0.4684,0.3732,0.2653,0.1257,0.5428,40.0,65.0,85.0,60.0,45.0,0.8021,1.0283,0.6089,0.8612,0.3449,0.1634,0.5885,True,True,True,False,False,0.5885
P03,motion,3,v1,Study,12,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,16:51:14,38,73.5,15.6,38.8,3,0.0,51.5,29.4,42.5,60.0,0.1036,0.5829,0.8622,0.3217,0.9198,0.0123,0.7312,40.0,45.0,75.0,60.0,45.0,0.1347,0.7578,1.1209,0.8252,1.1957,0.016,0.7581,False,True,True,True,False,0.7581
P03,motion,3,v1,Study,13,sampling,False,R1 215m Draycott Place,16:52:20,30,65.6,25.3,52.3,1,0.0,36.19,50.1,32.5,41.7,0.1668,0.6498,0.2918,0.5361,0.993,0.5503,0.0366,40.0,25.0,45.0,45.0,35.0,0.2168,0.8447,0.3793,0.9753,1.2909,0.7154,0.1329,False,True,False,True,True,0.4
P03,motion,3,v1,Study,14,sampling,True,R2 165m Cliveden Place,16:53:07,19,47.3,30.8,48.9,1,0.0,34.89,69.6,27.5,53.3,0.858,0.812,0.4343,0.463,0.4244,0.8007,0.2659,30.0,25.0,60.0,55.0,45.0,1.1154,1.0556,0.5646,0.9241,0.5517,1.0409,0.3393,True,True,False,False,True,0.4
P03,motion,3,v1,Study,15,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,16:54:40,63,93.0,16.3,49.1,3,0.0,38.21,35.1,52.5,60.0,0.9788,0.658,0.6187,0.823,0.3477,0.4655,0.3834,40.0,65.0,75.0,60.0,45.0,1.2724,0.8554,0.8043,1.1761,0.452,0.6052,0.4451,True,True,True,False,True,0.4451
P03,motion,3,v1,Study,16,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,16:56:48,49,79.3,13.0,42.8,6,0.0,44.22,27.7,17.5,65.0,0.8826,0.2742,0.2813,0.4829,0.0818,0.9043,0.5537,25.0,10.0,55.0,55.0,85.0,1.1474,0.3565,0.3657,0.938,0.1063,1.1756,0.5983,True,False,False,False,True,0.5983
P03,motion,3,v1,Study,17,optimization,True,R1 215m Draycott Place,16:58:52,41,74.0,18.6,52.4,2,0.0,32.55,44.1,57.5,45.0,0.4188,0.3276,0.1958,0.255,0.2678,0.7845,0.3147,55.0,60.0,55.0,45.0,35.0,0.5444,0.4259,0.2545,0.7785,0.3481,1.0198,0.3832,False,False,False,False,True,0.4
P03,motion,3,v1,Study,18,optimization,False,R2 165m Cliveden Place,17:00:32,17,43.8,32.7,52.8,0,0.0,42.03,63.9,32.5,71.7,0.7954,0.211,0.3954,0.7377,0.7073,0.8695,0.4347,25.0,40.0,80.0,70.0,65.0,1.034,0.2743,0.514,1.1164,0.9195,1.1304,0.4912,True,False,False,True,True,0.4912
P03,motion,3,v1,Study,19,optimization,False,R3 283m Basil Street → Hans Road → Brompton Road,17:03:12,67,98.3,14.6,47.0,5,0.0,42.07,29.4,12.5,83.3,0.7748,0.247,0.3992,0.1832,0.103,0.8605,0.4524,10.0,15.0,80.0,85.0,85.0,1.0072,0.3211,0.519,0.7282,0.1339,1.1187,0.5072,True,False,False,False,True,0.5072
P03,motion,3,v1,Study,20,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,17:05:20,45,70.2,12.5,38.2,0,0.0,48.67,27.8,15.0,90.0,0.8414,0.1274,0.4574,0.2518,0.4529,0.847,0.5304,15.0,15.0,90.0,90.0,90.0,1.0938,0.1656,0.5946,0.7763,0.5888,1.1011,0.5774,True,False,False,False,True,0.5774
P03,motion,3,v1,Study,21,finaldesign,,R1 215m Draycott Place,17:06:26,40,66.6,18.7,50.0,1,0.0,44.11,56.0,7.5,88.3,0.792,0.294,0.343,0.25,0.232,0.806,0.526,5.0,10.0,85.0,90.0,90.0,1.0296,0.3822,0.4459,0.775,0.3016,1.0478,0.5734,True,False,False,False,True,0.5734
P04,motion,4,v1,Study,1,sampling,False,R1 215m Draycott Place,15:18:14,102,239.2,7.5,39.9,1,0.0,33.62,54.4,32.5,50.0,0.4512,0.1917,0.0097,0.0877,0.4382,0.0349,0.7886,50.0,15.0,15.0,55.0,80.0,0.5866,0.2492,0.0126,0.6614,0.5697,0.0454,0.8097,False,False,False,False,False,0.8097
P04,motion,4,v1,Study,2,sampling,False,R2 165m Cliveden Place,15:19:37,27,82.8,21.3,45.6,0,0.0,38.51,62.6,25.0,65.0,0.3937,0.9119,0.5629,0.0393,0.7248,0.12,0.9103,35.0,15.0,60.0,60.0,75.0,0.5118,1.1855,0.7318,0.6275,0.9422,0.156,0.9193,False,True,True,True,False,0.9193
P04,motion,4,v1,Study,3,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,15:22:00,68,143.7,15.3,39.2,6,0.0,27.15,46.6,30.0,51.7,0.6556,0.9654,0.261,0.4914,0.9744,0.4852,0.0168,20.0,40.0,50.0,60.0,45.0,0.8523,1.255,0.3393,0.944,1.2667,0.6308,0.1151,True,True,False,True,True,0.4
P04,motion,4,v1,Study,4,sampling,True,R7 170m Astell Street → Burnsall Street → King's Road,15:23:43,50,102.5,11.4,26.8,2,0.0,20.88,40.0,10.0,63.3,0.597,0.0838,0.1079,0.751,0.3957,0.8884,0.1771,10.0,10.0,55.0,45.0,90.0,0.7761,0.1089,0.1403,1.1257,0.5144,1.1549,0.2594,True,False,False,False,True,0.4
P04,motion,4,v1,Study,5,sampling,False,R1 215m Draycott Place,15:25:12,44,88.9,17.1,39.5,2,0.0,29.8,45.9,22.5,63.3,0.2828,0.2076,0.184,0.3875,0.8809,0.8399,0.25,30.0,15.0,65.0,65.0,60.0,0.3676,0.2699,0.2392,0.8713,1.1452,1.0919,0.325,False,False,False,True,True,0.4
P04,motion,4,v1,Study,6,sampling,False,R2 165m Cliveden Place,15:26:14,24,61.7,24.2,38.2,0,0.0,26.87,68.1,10.0,88.3,0.4938,0.6866,0.9192,0.8437,0.5654,0.8214,0.573,10.0,10.0,90.0,90.0,85.0,0.6419,0.8926,1.195,1.1906,0.735,1.0678,0.6157,True,True,True,True,True,0.6157
